"cchs_uid","original_filename","canonical_filename","category","secondary_categories","content_tags","year","temporal_type","doc_type","language","file_extension","version","sequence","file_size","status"
"cchs-2001s-m-qu-e-doc-01","CCHS 1.1 household questionnaire_e.doc","cchs_2001s_qu_m_en_1_v1.doc","questionnaire","","","2001","single","master","EN","doc","v1",1,44032,"extracted"
"cchs-2001s-m-qu-e-pdf-01","CCHS 1.1 household questionnaire_e.pdf","cchs_2001s_qu_m_en_1_v1.pdf","questionnaire","","","2001","single","master","EN","pdf","v1",1,19472,"extracted"
"cchs-2001s-m-dd-e-doc-01","CCHS_2000_01_Revised_DV_Doc_Income_variables.doc","cchs_2001s_ot_m_en_1_v1.doc","data-dictionary","derived-variables","income-variables","2001","single","master","EN","doc","v1",1,958976,"extracted"
"cchs-2001s-m-dd-e-pdf-01","CCHS_2000_01_Revised_DV_Doc_Income_variables.pdf","cchs_2001s_ot_m_en_1_v1.pdf","data-dictionary","derived-variables","income-variables","2001","single","master","EN","pdf","v1",1,194588,"extracted"
"cchs-2001s-m-dd-e-doc-02","CCHS_New_income_variables.doc","cchs_2001s_ot_m_en_2_v1.doc","data-dictionary","derived-variables","income-variables","2001","single","master","EN","doc","v1",2,2673664,"extracted"
"cchs-2001s-m-dd-e-pdf-02","CCHS_New_income_variables.pdf","cchs_2001s_ot_m_en_2_v1.pdf","data-dictionary","derived-variables","income-variables","2001","single","master","EN","pdf","v1",2,41868,"extracted"
"cchs-2001s-m-qu-e-pdf-02","cchs_questenglish.pdf","cchs_2001s_qu_m_en_2_v1.pdf","questionnaire","","","2001","single","master","EN","pdf","v1",2,372116,"extracted"
"cchs-2001s-m-dd-e-pdf-03","English Data Dictionary (Freqs).pdf","cchs_2001s_dd_m_en_3_v1.pdf","data-dictionary","","frequency-tables","2001","single","master","EN","pdf","v1",3,1403999,"extracted"
"cchs-2001s-m-ug-e-pdf-01","User_Guide_Eng.pdf","cchs_2001s_ug_m_en_1_v1.pdf","user-guide","","","2001","single","master","EN","pdf","v1",1,576234,"extracted"
"cchs-2001s-m-ug-e-pdf-02","User_Guide_Fr.pdf","cchs_2001s_ug_m_en_2_v1.pdf","user-guide","","","2001","single","master","EN","pdf","v1",2,680672,"extracted"
"cchs-2003s-m-dd-e-doc-01","CCHS_2003_Revised_DV_Doc_Income_variables.doc","cchs_2003s_ot_m_en_1_v1.doc","data-dictionary","derived-variables","income-variables","2003","single","master","EN","doc","v1",1,960000,"extracted"
"cchs-2003s-m-dd-e-pdf-01","CCHS_2003_Revised_DV_Doc_Income_variables.pdf","cchs_2003s_ot_m_en_1_v1.pdf","data-dictionary","derived-variables","income-variables","2003","single","master","EN","pdf","v1",1,193435,"extracted"
"cchs-2003s-m-dd-e-doc-02","CCHS_New_income_variables.doc","cchs_2003s_ot_m_en_2_v1.doc","data-dictionary","derived-variables","income-variables","2003","single","master","EN","doc","v1",2,2673664,"extracted"
"cchs-2003s-m-dd-e-pdf-02","CCHS_New_income_variables.pdf","cchs_2003s_ot_m_en_2_v1.pdf","data-dictionary","derived-variables","income-variables","2003","single","master","EN","pdf","v1",2,41868,"extracted"
"cchs-2003s-m-dd-e-pdf-03","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_3_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",3,2365514,"extracted"
"cchs-2003s-m-qu-e-doc-01","English Questionnaire.doc","cchs_2003s_qu_m_en_1_v1.doc","questionnaire","","","2003","single","master","EN","doc","v1",1,1816064,"extracted"
"cchs-2003s-m-qu-e-pdf-01","English Questionnaire.pdf","cchs_2003s_qu_m_en_1_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",1,1453431,"extracted"
"cchs-2003s-m-qu-e-pdf-02","English_Household questionnaire.pdf","cchs_2003s_qu_m_en_2_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",2,19541,"extracted"
"cchs-2003s-m-dd-e-pdf-04","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_4_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",4,166871,"extracted"
"cchs-2003s-m-qu-e-doc-02","CCHS 2.1 household questionnaire_e.doc","cchs_2003s_qu_m_en_2_v1.doc","questionnaire","","","2003","single","master","EN","doc","v1",2,42496,"extracted"
"cchs-2003s-m-qu-e-pdf-03","CCHS 2.1 household questionnaire_e.pdf","cchs_2003s_qu_m_en_3_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",3,19541,"extracted"
"cchs-2003s-m-dd-e-pdf-05","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_5_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",5,2565758,"extracted"
"cchs-2003s-m-qu-e-doc-03","English Questionnaire.doc","cchs_2003s_qu_m_en_3_v1.doc","questionnaire","","","2003","single","master","EN","doc","v1",3,1816064,"extracted"
"cchs-2003s-m-qu-e-pdf-04","English Questionnaire.pdf","cchs_2003s_qu_m_en_4_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",4,1453431,"extracted"
"cchs-2003s-m-qu-e-pdf-05","English_Household questionnaire.pdf","cchs_2003s_qu_m_en_5_v1.pdf","questionnaire","","","2003","single","master","EN","pdf","v1",5,19541,"extracted"
"cchs-2003s-m-dd-e-pdf-06","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_6_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",6,1237708,"extracted"
"cchs-2003s-m-dd-e-pdf-07","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_7_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",7,1155663,"extracted"
"cchs-2003s-m-dd-e-pdf-08","English Data Dictionary (Freqs).pdf","cchs_2003s_dd_m_en_8_v1.pdf","data-dictionary","","frequency-tables","2003","single","master","EN","pdf","v1",8,1316849,"extracted"
"cchs-2003s-m-ug-e-pdf-01","User_guide_Eng.pdf","cchs_2003s_ug_m_en_1_v1.pdf","user-guide","","","2003","single","master","EN","pdf","v1",1,642148,"extracted"
"cchs-2003s-m-ug-e-pdf-02","User_Guide_Fra.pdf","cchs_2003s_ug_m_en_2_v1.pdf","user-guide","","","2003","single","master","EN","pdf","v1",2,672367,"extracted"
"cchs-2005s-m-ug-e-doc-01","CCHS 3.1 UserGuide_e.DOC","cchs_2005s_ug_m_en_1_v1.doc","user-guide","","","2005","single","master","EN","doc","v1",1,1631232,"extracted"
"cchs-2005s-m-ug-e-pdf-01","CCHS 3.1 UserGuide_e.pdf","cchs_2005s_ug_m_en_1_v1.pdf","user-guide","","","2005","single","master","EN","pdf","v1",1,2053483,"extracted"
"cchs-2005s-m-qu-e-doc-01","CCHS Cycle 3.1 English Questionnaire_PAS.doc","cchs_2005s_qu_m_en_1_v1.doc","questionnaire","","","2005","single","master","EN","doc","v1",1,37376,"extracted"
"cchs-2005s-m-qu-e-doc-02","CCHS Cycle 3.1 English Questionnaire.doc","cchs_2005s_qu_m_en_2_v1.doc","questionnaire","","","2005","single","master","EN","doc","v1",2,1809408,"extracted"
"cchs-2005s-m-qu-e-pdf-01","CCHS Cycle 3.1 English Questionnaire.pdf","cchs_2005s_qu_m_en_1_v1.pdf","questionnaire","","","2005","single","master","EN","pdf","v1",1,695683,"extracted"
"cchs-2005s-m-dd-e-pdf-01","English Data Dictionary (Freqs).pdf","cchs_2005s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2005","single","master","EN","pdf","v1",1,2726172,"extracted"
"cchs-2005s-m-dd-e-pdf-02","English Data Dictionary (Freqs).pdf","cchs_2005s_dd_m_en_2_v1.pdf","data-dictionary","","frequency-tables","2005","single","master","EN","pdf","v1",2,1367564,"extracted"
"cchs-2005s-m-dd-e-pdf-03","English Data Dictionary (Freqs).pdf","cchs_2005s_dd_m_en_3_v1.pdf","data-dictionary","","frequency-tables","2005","single","master","EN","pdf","v1",3,1038019,"extracted"
"cchs-2005s-m-dd-e-pdf-04","English Data Dictionary (Freqs).pdf","cchs_2005s_dd_m_en_4_v1.pdf","data-dictionary","","frequency-tables","2005","single","master","EN","pdf","v1",4,1591262,"extracted"
"cchs-2005s-s-ug-e-doc-01","CCHS 3.1 UserGuide_e.DOC","cchs_2005s_ug_s_en_1_v1.doc","user-guide","","","2005","single","share","EN","doc","v1",1,1631232,"extracted"
"cchs-2005s-s-ug-e-pdf-01","CCHS 3.1 UserGuide_e.pdf","cchs_2005s_ug_s_en_1_v1.pdf","user-guide","","","2005","single","share","EN","pdf","v1",1,2053483,"extracted"
"cchs-2005s-s-qu-e-doc-01","CCHS Cycle 3.1 English Questionnaire.doc","cchs_2005s_qu_s_en_1_v1.doc","questionnaire","","","2005","single","share","EN","doc","v1",1,1809408,"extracted"
"cchs-2005s-s-qu-e-pdf-01","CCHS Cycle 3.1 English Questionnaire.pdf","cchs_2005s_qu_s_en_1_v1.pdf","questionnaire","","","2005","single","share","EN","pdf","v1",1,695683,"extracted"
"cchs-2005s-s-dd-e-txt-01","Read me - Data dictionary.txt","cchs_2005s_dd_s_en_1_v1.txt","data-dictionary","","","2005","single","share","EN","txt","v1",1,350,"extracted"
"cchs-2007d-m-dd-e-pdf-01","CCHS_2007-2008_DataDictionary_Freq.pdf","cchs_2007d_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2007","dual","master","EN","pdf","v1",1,3064240,"extracted"
"cchs-2007d-m-dv-e-pdf-01","CCHS_2007-2008_Derived_Variables.pdf","cchs_2007d_dv_m_en_1_v1.pdf","derived-variables","","","2007","dual","master","EN","pdf","v1",1,895734,"extracted"
"cchs-2007d-m-ug-e-doc-01","CCHS_2007-2008_User_Guide.doc","cchs_2007d_ug_m_en_1_v1.doc","user-guide","","","2007","dual","master","EN","doc","v1",1,2459648,"extracted"
"cchs-2007d-m-ug-e-pdf-01","CCHS_2007-2008_User_Guide.pdf","cchs_2007d_ug_m_en_1_v1.pdf","user-guide","","","2007","dual","master","EN","pdf","v1",1,561315,"extracted"
"cchs-2007d-m-qu-e-doc-01","CCHS_2008_Questionnaire.doc","cchs_2007d_qu_m_en_1_v1.doc","questionnaire","","","2007","dual","master","EN","doc","v1",1,2260992,"extracted"
"cchs-2007d-m-qu-e-pdf-01","CCHS_2008_Questionnaire.pdf","cchs_2007d_qu_m_en_1_v1.pdf","questionnaire","","","2007","dual","master","EN","pdf","v1",1,5293511,"extracted"
"cchs-2009d-m-dd-e-pdf-01","CCHS_2009_DataDictionary_Freq.pdf","cchs_2009d_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2009","dual","master","EN","pdf","v1",1,2678562,"extracted"
"cchs-2009d-m-dv-e-pdf-01","CCHS_2009_Derived_Variables_SS1.pdf","cchs_2009d_dv_m_en_1_v1.pdf","derived-variables","","","2009","dual","master","EN","pdf","v1",1,620706,"extracted"
"cchs-2009d-m-dv-e-pdf-02","CCHS_2009_Derived_Variables.pdf","cchs_2009d_dv_m_en_2_v1.pdf","derived-variables","","","2009","dual","master","EN","pdf","v1",2,897280,"extracted"
"cchs-2009d-m-qu-e-pdf-01","CCHS_2009_Questionnaire.pdf","cchs_2009d_qu_m_en_1_v1.pdf","questionnaire","","","2009","dual","master","EN","pdf","v1",1,1483040,"extracted"
"cchs-2009d-m-ug-e-pdf-01","CCHS_2009_User_Guide.pdf","cchs_2009d_ug_m_en_1_v1.pdf","user-guide","","","2009","dual","master","EN","pdf","v1",1,822144,"extracted"
"cchs-2009d-m-dd-e-pdf-02","CCHS_2009_DataDictionary_Freq_SS1.pdf","cchs_2009d_dd_m_en_2_v1.pdf","data-dictionary","","frequency-tables","2009","dual","master","EN","pdf","v1",2,1339474,"extracted"
"cchs-2010d-m-ug-e-pdf-01","CCHS_2010_2009-2010_User_Guide.pdf","cchs_2010d_ug_m_en_1_v1.pdf","user-guide","","","2010","dual","master","EN","pdf","v1",1,2503012,"extracted"
"cchs-2010d-m-dd-e-pdf-01","CCHS_2010_DataDictionary_Freqs.pdf","cchs_2010d_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2010","dual","master","EN","pdf","v1",1,3552708,"extracted"
"cchs-2010d-m-dv-e-pdf-01","CCHS_2010_Derived_Variables.pdf","cchs_2010d_dv_m_en_1_v1.pdf","derived-variables","","","2010","dual","master","EN","pdf","v1",1,1334091,"extracted"
"cchs-2010d-m-qu-e-pdf-01","CCHS_2010_Questionnaire.pdf","cchs_2010d_qu_m_en_1_v1.pdf","questionnaire","","","2010","dual","master","EN","pdf","v1",1,1851816,"extracted"
"cchs-2011s-m-dd-e-pdf-01","CCHS_2011_DataDictionary_Freqs.pdf","cchs_2011s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2011","single","master","EN","pdf","v1",1,3106168,"extracted"
"cchs-2011s-m-dv-e-pdf-01","CCHS_2011_Derived_Variables.pdf","cchs_2011s_dv_m_en_1_v1.pdf","derived-variables","","","2011","single","master","EN","pdf","v1",1,1253494,"extracted"
"cchs-2011s-m-qu-e-pdf-01","CCHS_2011_Questionnaire.pdf","cchs_2011s_qu_m_en_1_v1.pdf","questionnaire","","","2011","single","master","EN","pdf","v1",1,2156200,"extracted"
"cchs-2011s-m-ug-e-pdf-01","CCHS_2011_User_Guide.pdf","cchs_2011s_ug_m_en_1_v1.pdf","user-guide","","","2011","single","master","EN","pdf","v1",1,2031363,"extracted"
"cchs-2011s-m-dd-e-pdf-02","CCHS_2011_DataDictionary_Freqs.pdf","cchs_2011s_dd_m_en_2_v1.pdf","data-dictionary","","frequency-tables","2011","single","master","EN","pdf","v1",2,1567695,"extracted"
"cchs-2012s-m-dd-e-pdf-01","CCHS_2012_DataDictionary_Freqs.pdf","cchs_2012s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2012","single","master","EN","pdf","v1",1,3259620,"extracted"
"cchs-2012s-m-dv-e-pdf-01","CCHS_2012_Derived_Variables.pdf","cchs_2012s_dv_m_en_1_v1.pdf","derived-variables","","","2012","single","master","EN","pdf","v1",1,1094759,"extracted"
"cchs-2012s-m-qu-e-pdf-01","CCHS_2012_Questionnaire.pdf","cchs_2012s_qu_m_en_1_v1.pdf","questionnaire","","","2012","single","master","EN","pdf","v1",1,8526154,"extracted"
"cchs-2012s-m-ug-e-pdf-01","CCHS_2012_User_Guide.pdf","cchs_2012s_ug_m_en_1_v1.pdf","user-guide","","","2012","single","master","EN","pdf","v1",1,2558957,"extracted"
"cchs-2013d-m-dd-e-pdf-01","CCHS_2013_DataDictionary_Freqs.pdf","cchs_2013d_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2013","dual","master","EN","pdf","v1",1,3016966,"extracted"
"cchs-2013d-m-dv-e-pdf-01","CCHS_2013_Derived_Variables.pdf","cchs_2013d_dv_m_en_1_v1.pdf","derived-variables","","","2013","dual","master","EN","pdf","v1",1,1087508,"extracted"
"cchs-2013d-m-qu-e-pdf-01","CCHS_2013_Questionnaire.pdf","cchs_2013d_qu_m_en_1_v1.pdf","questionnaire","","","2013","dual","master","EN","pdf","v1",1,3161198,"extracted"
"cchs-2013d-m-ug-e-pdf-01","CCHS_2013_User_Guide.pdf","cchs_2013d_ug_m_en_1_v1.pdf","user-guide","","","2013","dual","master","EN","pdf","v1",1,1885903,"extracted"
"cchs-2013d-m-dd-e-pdf-02","CCHS_2013_DataDictionary_Freqs.pdf","cchs_2013d_dd_m_en_2_v1.pdf","data-dictionary","","frequency-tables","2013","dual","master","EN","pdf","v1",2,1591060,"extracted"
"cchs-2013d-m-dv-e-pdf-02","CCHS_2013_Derived Variables_Sub-sample.pdf","cchs_2013d_dv_m_en_2_v1.pdf","derived-variables","","","2013","dual","master","EN","pdf","v1",2,774413,"extracted"
"cchs-2014d-m-dd-e-pdf-01","CCHS_2014_DataDictionary_Freqs.pdf","cchs_2014d_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2014","dual","master","EN","pdf","v1",1,3074937,"extracted"
"cchs-2014d-m-dv-e-pdf-01","CCHS_2014_Derived_Variables.pdf","cchs_2014d_dv_m_en_1_v1.pdf","derived-variables","","","2014","dual","master","EN","pdf","v1",1,1112667,"extracted"
"cchs-2014d-m-qu-e-pdf-01","CCHS_2014_Questionnaire.pdf","cchs_2014d_qu_m_en_1_v1.pdf","questionnaire","","","2014","dual","master","EN","pdf","v1",1,2039916,"extracted"
"cchs-2014d-m-ug-e-pdf-01","CCHS_2014_User_Guide.pdf","cchs_2014d_ug_m_en_1_v1.pdf","user-guide","","","2014","dual","master","EN","pdf","v1",1,1767439,"extracted"
"cchs-2015s-m-dd-e-pdf-01","CCHS_2015_DataDictionary_Freqs.pdf","cchs_2015s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2015","single","master","EN","pdf","v1",1,4475675,"extracted"
"cchs-2015s-m-dv-e-pdf-01","CCHS_2015_Derived_variables.pdf","cchs_2015s_dv_m_en_1_v1.pdf","derived-variables","","","2015","single","master","EN","pdf","v1",1,1323378,"extracted"
"cchs-2015s-m-qu-e-pdf-01","CCHS_2015_Questionnaire.pdf","cchs_2015s_qu_m_en_1_v1.pdf","questionnaire","","","2015","single","master","EN","pdf","v1",1,2845787,"extracted"
"cchs-2015s-m-ug-e-pdf-01","CCHS_2015_User_Guide.pdf","cchs_2015s_ug_m_en_1_v1.pdf","user-guide","","","2015","single","master","EN","pdf","v1",1,1088878,"extracted"
"cchs-2015s-s-dd-e-pdf-01","CCHS_2015_DataDictionary_Freqs.pdf","cchs_2015s_dd_s_en_1_v1.pdf","data-dictionary","","frequency-tables","2015","single","share","EN","pdf","v1",1,4474457,"extracted"
"cchs-2015s-s-dv-e-pdf-01","CCHS_2015_Derived_variables.pdf","cchs_2015s_dv_s_en_1_v1.pdf","derived-variables","","","2015","single","share","EN","pdf","v1",1,1305791,"extracted"
"cchs-2015s-s-qu-e-pdf-01","CCHS_2015_Questionnaire.pdf","cchs_2015s_qu_s_en_1_v1.pdf","questionnaire","","","2015","single","share","EN","pdf","v1",1,2845787,"extracted"
"cchs-2015s-s-ug-e-pdf-01","CCHS_2015_User_Guide.pdf","cchs_2015s_ug_s_en_1_v1.pdf","user-guide","","","2015","single","share","EN","pdf","v1",1,1088878,"extracted"
"cchs-2016s-m-qu-e-pdf-01","CCHS CAPI-CATI Interview Manual_Fre_Oct 28_FINAL for pdf .pdf","cchs_2016s_ot_m_en_1_v1.pdf","questionnaire","","","2016","single","master","EN","pdf","v1",1,1404162,"extracted"
"cchs-2016s-m-qu-e-pdf-02","CCHS CAPI-CATI Interviewer Manual_Eng__Oct 28_FINAL.pdf","cchs_2016s_ot_m_en_2_v1.pdf","questionnaire","","","2016","single","master","EN","pdf","v1",2,1287280,"extracted"
"cchs-2016s-m-dd-e-pdf-01","CCHS_2016_DataDictionary_Freqs.pdf","cchs_2016s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2016","single","master","EN","pdf","v1",1,4383548,"extracted"
"cchs-2016s-m-dv-e-pdf-01","CCHS_2016_Derived_Variables.pdf","cchs_2016s_dv_m_en_1_v1.pdf","derived-variables","","","2016","single","master","EN","pdf","v1",1,1158857,"extracted"
"cchs-2016s-m-qu-e-pdf-03","CCHS_2016_Questionnaire.pdf","cchs_2016s_qu_m_en_3_v1.pdf","questionnaire","","","2016","single","master","EN","pdf","v1",3,4204957,"extracted"
"cchs-2016s-m-ug-e-pdf-01","CCHS_2016_User_Guide.pdf","cchs_2016s_ug_m_en_1_v1.pdf","user-guide","","","2016","single","master","EN","pdf","v1",1,2082462,"extracted"
"cchs-2016s-s-dd-e-pdf-01","CCHS_2016_DataDictionary_Freqs.pdf","cchs_2016s_dd_s_en_1_v1.pdf","data-dictionary","","frequency-tables","2016","single","share","EN","pdf","v1",1,4302395,"extracted"
"cchs-2016s-s-dv-e-pdf-01","CCHS_2016_Derived_Variables.pdf","cchs_2016s_dv_s_en_1_v1.pdf","derived-variables","","","2016","single","share","EN","pdf","v1",1,1130753,"extracted"
"cchs-2016s-s-qu-e-pdf-01","CCHS_2016_Questionnaire.pdf","cchs_2016s_qu_s_en_1_v1.pdf","questionnaire","","","2016","single","share","EN","pdf","v1",1,4204957,"extracted"
"cchs-2016s-s-ug-e-pdf-01","CCHS_2016_User_Guide.pdf","cchs_2016s_ug_s_en_1_v1.pdf","user-guide","","","2016","single","share","EN","pdf","v1",1,2082462,"extracted"
"cchs-2017s-m-dd-e-pdf-01","CCHS_2017_DataDictionary_Freqs.pdf","cchs_2017s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2017","single","master","EN","pdf","v1",1,3798168,"extracted"
"cchs-2017s-m-dv-e-pdf-01","CCHS_2017_Derived_Variables.pdf","cchs_2017s_dv_m_en_1_v1.pdf","derived-variables","","","2017","single","master","EN","pdf","v1",1,1091219,"extracted"
"cchs-2017s-m-qu-e-pdf-01","CCHS_2017_Questionnaire.pdf","cchs_2017s_qu_m_en_1_v1.pdf","questionnaire","","","2017","single","master","EN","pdf","v1",1,1275607,"extracted"
"cchs-2017s-m-ug-e-pdf-01","CCHS_2017_User_Guide.pdf","cchs_2017s_ug_m_en_1_v1.pdf","user-guide","","","2017","single","master","EN","pdf","v1",1,1833902,"extracted"
"cchs-2018s-m-dd-e-pdf-01","CCHS_2018_DataDictionary_Freqs.pdf","cchs_2018s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2018","single","master","EN","pdf","v1",1,3876881,"extracted"
"cchs-2018s-m-dv-e-pdf-01","CCHS_2018_Derived_Variables.pdf","cchs_2018s_dv_m_en_1_v1.pdf","derived-variables","","","2018","single","master","EN","pdf","v1",1,1075657,"extracted"
"cchs-2018s-m-qu-e-pdf-01","CCHS_2018_Questionnaire.pdf","cchs_2018s_qu_m_en_1_v1.pdf","questionnaire","","","2018","single","master","EN","pdf","v1",1,1577431,"extracted"
"cchs-2018s-m-ug-e-pdf-01","CCHS_2018_User_Guide.pdf","cchs_2018s_ug_m_en_1_v1.pdf","user-guide","","","2018","single","master","EN","pdf","v1",1,2272942,"extracted"
"cchs-2019s-m-dd-e-pdf-01","CCHS_2019_DataDictionary_Freqs.pdf","cchs_2019s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2019","single","master","EN","pdf","v1",1,3735429,"extracted"
"cchs-2019s-m-dv-e-pdf-01","CCHS_2019_Derived_Variables.pdf","cchs_2019s_dv_m_en_1_v1.pdf","derived-variables","","","2019","single","master","EN","pdf","v1",1,1112398,"extracted"
"cchs-2019s-m-qu-e-pdf-01","CCHS_2019_Questionnaire.pdf","cchs_2019s_qu_m_en_1_v1.pdf","questionnaire","","","2019","single","master","EN","pdf","v1",1,4451790,"extracted"
"cchs-2019s-m-ug-e-pdf-01","CCHS_2019_User_Guide.pdf","cchs_2019s_ug_m_en_1_v1.pdf","user-guide","","","2019","single","master","EN","pdf","v1",1,2393204,"extracted"
"cchs-2020s-m-dd-e-pdf-01","CCHS_2020_DataDictionary_Freqs.pdf","cchs_2020s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2020","single","master","EN","pdf","v1",1,3802143,"extracted"
"cchs-2020s-m-dv-e-pdf-01","CCHS_2020_Derived_Variables.pdf","cchs_2020s_dv_m_en_1_v1.pdf","derived-variables","","","2020","single","master","EN","pdf","v1",1,1112421,"extracted"
"cchs-2020s-m-qu-e-pdf-01","CCHS_2020_Questionnaire.pdf","cchs_2020s_qu_m_en_1_v1.pdf","questionnaire","","","2020","single","master","EN","pdf","v1",1,9924770,"extracted"
"cchs-2020s-m-ug-e-pdf-01","CCHS_2020_User_Guide.pdf","cchs_2020s_ug_m_en_1_v1.pdf","user-guide","","","2020","single","master","EN","pdf","v1",1,1788936,"extracted"
"cchs-2021s-m-dd-e-pdf-01","CCHS_2021_DataDictionary_Freqs.pdf","cchs_2021s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2021","single","master","EN","pdf","v1",1,2778428,"extracted"
"cchs-2021s-m-dv-e-pdf-01","CCHS_2021_Derived_Variables.pdf","cchs_2021s_dv_m_en_1_v1.pdf","derived-variables","","","2021","single","master","EN","pdf","v1",1,1163780,"extracted"
"cchs-2021s-m-qu-e-pdf-01","CCHS_2021_Questionnaire.pdf","cchs_2021s_qu_m_en_1_v1.pdf","questionnaire","","","2021","single","master","EN","pdf","v1",1,6447368,"extracted"
"cchs-2021s-m-ug-e-pdf-01","CCHS_2021_User_Guide.pdf","cchs_2021s_ug_m_en_1_v1.pdf","user-guide","","","2021","single","master","EN","pdf","v1",1,1010430,"extracted"
"cchs-2021s-s-dv-e-pdf-01","CCHS_2021_Derived_Variables.pdf","cchs_2021s_dv_s_en_1_v1.pdf","derived-variables","","","2021","single","share","EN","pdf","v1",1,1163780,"extracted"
"cchs-2021s-s-qu-e-pdf-01","CCHS_2021_Questionnaire.pdf","cchs_2021s_qu_s_en_1_v1.pdf","questionnaire","","","2021","single","share","EN","pdf","v1",1,6447368,"extracted"
"cchs-2021s-s-ug-e-pdf-01","CCHS_2021_User_Guide.pdf","cchs_2021s_ug_s_en_1_v1.pdf","user-guide","","","2021","single","share","EN","pdf","v1",1,1010430,"extracted"
"cchs-2022s-m-dd-e-pdf-01","CCHS_2022_DataDictionary_Freqs.pdf","cchs_2022s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2022","single","master","EN","pdf","v1",1,2509219,"extracted"
"cchs-2022s-m-dv-e-pdf-01","CCHS_2022_Derived_Variables.pdf","cchs_2022s_dv_m_en_1_v1.pdf","derived-variables","","","2022","single","master","EN","pdf","v1",1,605683,"extracted"
"cchs-2022s-m-qu-e-pdf-01","CCHS_2022_Questionnaire.pdf","cchs_2022s_qu_m_en_1_v1.pdf","questionnaire","","","2022","single","master","EN","pdf","v1",1,2638895,"extracted"
"cchs-2022s-m-ug-e-pdf-01","CCHS_2022_User_Guide.pdf","cchs_2022s_ug_m_en_1_v1.pdf","user-guide","","","2022","single","master","EN","pdf","v1",1,1100557,"extracted"
"cchs-2023s-m-dd-e-pdf-01","CCHS 2023 Data Dictionary (rounded frequencies).pdf","cchs_2023s_dd_m_en_1_v1.pdf","data-dictionary","","frequency-tables","2023","single","master","EN","pdf","v1",1,2650628,"extracted"
"cchs-2023s-m-dd-e-pdf-02","CCHS_2023_DataDictionary_Freqs.pdf","cchs_2023s_dd_m_en_2_v1.pdf","data-dictionary","","frequency-tables","2023","single","master","EN","pdf","v1",2,2656946,"extracted"
"cchs-2023s-m-dv-e-pdf-01","CCHS_2023_Derived_Variables.pdf","cchs_2023s_dv_m_en_1_v1.pdf","derived-variables","","","2023","single","master","EN","pdf","v1",1,1708761,"extracted"
"cchs-2023s-m-qu-e-pdf-01","CCHS_2023_Questionnaire.pdf","cchs_2023s_qu_m_en_1_v1.pdf","questionnaire","","","2023","single","master","EN","pdf","v1",1,1472820,"extracted"
"cchs-2023s-m-ug-e-pdf-01","CCHS_2023_User_Guide.pdf","cchs_2023s_ug_m_en_1_v1.pdf","user-guide","","","2023","single","master","EN","pdf","v1",1,2399863,"extracted"
