ices_id,dataset_id,year_start,year_end,geo,temporal_type,content,release,cycle,subfile,n_variables,n_primary_sources,n_secondary_sources
,cchs-2001d-m-can,2000,2001,can,dual,gen,master,1.1,,614,0,0
CCHS2000_01|CCHS2001_PUBLIC_11,cchs-2001d-p-can,2000,2001,can,dual,gen,pumf,1.1,,614,1,1
CCHS2001_INC_VARS,cchs-2001s-inc-can-vars,2001,2001,can,single,gen,income,,vars,8,0,1
CCHS2001_ONT_LINK_11,cchs-2001d-l-ont,2001,2001,ont,dual,gen,linked,1.1,,1089,0,1
CCHS2001_ONT_LINK_BOOT_11,cchs-2001d-l-ont-boot,2001,2001,ont,dual,gen,linked,1.1,boot,502,0,1
CCHS2001_ONT_LINK_11_PB,cchs-2001d-l-ont-pb,2001,2001,ont,dual,gen,linked,1.1,pb,1089,0,1
CCHS2001_ONT_SHARE_11,cchs-2001d-s-ont,2001,2001,ont,dual,gen,share,1.1,,995,0,1
CCHS2001_ONT_SHARE_BOOT_11,cchs-2001d-s-ont-boot,2001,2001,ont,dual,gen,share,1.1,boot,502,0,1
CCHS2002_ONT_LINK_12,cchs-2002d-l-ont-mh,2002,2002,ont,dual,mh,linked,1.2,,2093,0,1
CCHS2002_ONT_LINK_BOOT_12,cchs-2002d-l-ont-mh-boot,2002,2002,ont,dual,mh,linked,1.2,boot,502,0,1
CCHS2002_ONT_LINK_12_PB,cchs-2002d-l-ont-mh-pb,2002,2002,ont,dual,mh,linked,1.2,pb,2095,0,1
CCHS2002_ONT_SHARE_12,cchs-2002d-s-ont-mh,2002,2002,ont,dual,mh,share,1.2,,2087,0,1
CCHS2002_ONT_SHARE_BOOT_12,cchs-2002d-s-ont-mh-boot,2002,2002,ont,dual,mh,share,1.2,boot,502,0,1
CCHS2002_ONT_SHARE_12_LEVEL1,cchs-2002d-s-ont-mh-level1,2002,2002,ont,dual,mh,share,1.2,level1,5,0,1
CCHS2003_INC_VARS,cchs-2003s-inc-can-vars,2003,2003,can,single,gen,income,,vars,8,0,1
CCHS2003_ONT_LINK_21,cchs-2003d-l-ont,2003,2003,ont,dual,gen,linked,2.1,,1793,0,1
CCHS2003_ONT_LINK_BOOT_21,cchs-2003d-l-ont-boot,2003,2003,ont,dual,gen,linked,2.1,boot,502,0,1
CCHS2003_ONT_LINK_21_PB,cchs-2003d-l-ont-pb,2003,2003,ont,dual,gen,linked,2.1,pb,1795,0,1
,cchs-2003d-m-can,2003,2003,can,dual,gen,master,2.1,,1068,0,0
,cchs-2003d-p-can,2003,2003,can,dual,gen,pumf,2.1,,1068,1,0
CCHS2003_ONT_SHARE_21,cchs-2003d-s-ont,2003,2003,ont,dual,gen,share,2.1,,1399,0,1
CCHS2003_ONT_SHARE_BOOT_21,cchs-2003d-s-ont-boot,2003,2003,ont,dual,gen,share,2.1,boot,502,0,1
CCHS2003_ONT_SHARE_21_LEVEL1,cchs-2003d-s-ont-level1,2003,2003,ont,dual,gen,share,2.1,level1,5,0,1
CCHS2004_ONT_LINK_22,cchs-2004d-l-ont-nut,2004,2004,ont,dual,nut,linked,2.2,,542,0,1
CCHS2004_ONT_LINK_22_BOOT,cchs-2004d-l-ont-nut-boot,2004,2004,ont,dual,nut,linked,2.2,boot,505,0,1
CCHS2004_CAN_SHARE_22,cchs-2004d-s-can-nut,2004,2004,can,dual,nut,share,2.2,,538,0,1
CCHS2004_CAN_SHARE_22_BOOT_HH,cchs-2004d-s-can-nut-boot.hh,2004,2004,can,dual,nut,share,2.2,boot.hh,503,0,1
CCHS2004_CAN_SHARE_22_BOOT_HS,cchs-2004d-s-can-nut-boot.hs,2004,2004,can,dual,nut,share,2.2,boot.hs,503,0,1
CCHS2004_CAN_SHARE_22_BOOT_HW,cchs-2004d-s-can-nut-boot.hw,2004,2004,can,dual,nut,share,2.2,boot.hw,503,0,1
CCHS2004_CAN_SHARE_22_CFG,cchs-2004d-s-can-nut-cfg,2004,2004,can,dual,nut,share,2.2,cfg,5,0,1
CCHS2004_CAN_SHARE_22_FDC,cchs-2004d-s-can-nut-fdc,2004,2004,can,dual,nut,share,2.2,fdc,43,0,1
CCHS2004_CAN_SHARE_22_FID,cchs-2004d-s-can-nut-fid,2004,2004,can,dual,nut,share,2.2,fid,58,0,1
CCHS2004_CAN_SHARE_22_FRL,cchs-2004d-s-can-nut-frl,2004,2004,can,dual,nut,share,2.2,frl,58,0,1
CCHS2004_CAN_SHARE_22_HHWT,cchs-2004d-s-can-nut-hhwt,2004,2004,can,dual,nut,share,2.2,hhwt,3,0,1
CCHS2004_CAN_SHARE_22_R24,cchs-2004d-s-can-nut-r24,2004,2004,can,dual,nut,share,2.2,r24,61,0,1
CCHS2004_CAN_SHARE_22_SIDE,cchs-2004d-s-can-nut-side,2004,2004,can,dual,nut,share,2.2,side,542,0,1
CCHS2004_CAN_SHARE_22_VDC,cchs-2004d-s-can-nut-vdc,2004,2004,can,dual,nut,share,2.2,vdc,32,0,1
CCHS2004_CAN_SHARE_22_VMD,cchs-2004d-s-can-nut-vmd,2004,2004,can,dual,nut,share,2.2,vmd,36,0,1
CCHS2004_CAN_SHARE_22_VSD,cchs-2004d-s-can-nut-vsd,2004,2004,can,dual,nut,share,2.2,vsd,26,0,1
CCHS2004_ONT_SHARE_22,cchs-2004d-s-ont-nut,2004,2004,ont,dual,nut,share,2.2,,538,0,1
CCHS2004_ONT_SHARE_22_BOOT_HH,cchs-2004d-s-ont-nut-boot.hh,2004,2004,ont,dual,nut,share,2.2,boot.hh,503,0,1
CCHS2004_ONT_SHARE_22_BOOT_HS,cchs-2004d-s-ont-nut-boot.hs,2004,2004,ont,dual,nut,share,2.2,boot.hs,503,0,1
CCHS2004_ONT_SHARE_22_BOOT_HW,cchs-2004d-s-ont-nut-boot.hw,2004,2004,ont,dual,nut,share,2.2,boot.hw,503,0,1
CCHS2004_ONT_SHARE_22_HHWT,cchs-2004d-s-ont-nut-hhwt,2004,2004,ont,dual,nut,share,2.2,hhwt,3,0,1
CCHS2005_INC_IMP,cchs-2005s-inc-can-imp,2005,2005,can,single,gen,income,,imp,9,0,1
CCHS2005_INC_IMP_LINK,cchs-2005s-inc-can-imp.link,2005,2005,can,single,gen,income,,imp.link,10,0,1
CCHS2005_ONT_LINK_31,cchs-2005d-l-ont,2005,2005,ont,dual,gen,linked,3.1,,1084,0,1
CCHS2005_ONT_LINK_BOOT_31,cchs-2005d-l-ont-boot,2005,2005,ont,dual,gen,linked,3.1,boot,503,0,1
CCHS2005_ONT_LINK_31_PB,cchs-2005d-l-ont-pb,2005,2005,ont,dual,gen,linked,3.1,pb,1086,0,1
,cchs-2005d-m-can,2005,2005,can,dual,gen,master,3.1,,1284,0,0
,cchs-2005d-p-can,2005,2005,can,dual,gen,pumf,3.1,,1284,1,0
CCHS2005_ONT_SHARE_31,cchs-2005d-s-ont,2005,2005,ont,dual,gen,share,3.1,,1081,0,1
CCHS2005_ONT_SHARE_BOOT_31,cchs-2005d-s-ont-boot,2005,2005,ont,dual,gen,share,3.1,boot,502,0,1
CCHS2005_ONT_SHARE_BOOT_31_SUB1,cchs-2005d-s-ont-boot.sub1,2005,2005,ont,dual,gen,share,3.1,boot.sub1,502,0,1
CCHS2005_ONT_SHARE_BOOT_31_SUB3,cchs-2005d-s-ont-boot.sub3,2005,2005,ont,dual,gen,share,3.1,boot.sub3,502,0,1
CCHS2005_ONT_SHARE_31_LEVEL1,cchs-2005d-s-ont-level1,2005,2005,ont,dual,gen,share,3.1,level1,5,0,1
CCHS2005_ONT_SHARE_31_SUB1_LVL1,cchs-2005d-s-ont-level1.sub1,2005,2005,ont,dual,gen,share,3.1,level1.sub1,5,0,1
CCHS2005_ONT_SHARE_31_SUB3_LVL1,cchs-2005d-s-ont-level1.sub3,2005,2005,ont,dual,gen,share,3.1,level1.sub3,5,0,1
CCHS2005_ONT_SHARE_31_SUB1,cchs-2005d-s-ont-sub1,2005,2005,ont,dual,gen,share,3.1,sub1,941,0,1
CCHS2005_ONT_SHARE_31_SUB3,cchs-2005d-s-ont-sub3,2005,2005,ont,dual,gen,share,3.1,sub3,1137,0,1
CCHS200708_INC_IMP,cchs-2007d-inc-can-imp,2007,2008,can,dual,gen,income,,imp,9,0,1
CCHS200708_INC_IMP_LINK,cchs-2007d-inc-can-imp.link,2007,2008,can,dual,gen,income,,imp.link,10,0,1
CCHS2007_INC_IMP,cchs-2007s-inc-can-imp,2007,2007,can,single,gen,income,,imp,9,0,1
CCHS200708_ONT_LINK,cchs-2007d-l-ont,2007,2008,ont,dual,gen,linked,,,977,0,1
CCHS200708_ONT_LINK_BOOT,cchs-2007d-l-ont-boot,2007,2008,ont,dual,gen,linked,,boot,503,0,1
CCHS200708_ONT_LINK_BOOT_LHIN,cchs-2007d-l-ont-boot.lhin,2007,2008,ont,dual,gen,linked,,boot.lhin,503,0,1
CCHS200708_ONT_LINK_LHIN,cchs-2007d-l-ont-lhin,2007,2008,ont,dual,gen,linked,,lhin,3,0,1
CCHS200708_ONT_LINK_PB,cchs-2007d-l-ont-pb,2007,2008,ont,dual,gen,linked,,pb,979,0,1
,cchs-2007d-m-can,2007,2008,can,dual,gen,master,,,1195,0,0
,cchs-2007d-p-can,2007,2008,can,dual,gen,pumf,,,1195,1,0
CCHS200708_ONT_SHARE,cchs-2007d-s-ont,2007,2008,ont,dual,gen,share,,,970,0,1
CCHS200708_ONT_SHARE_BOOT,cchs-2007d-s-ont-boot,2007,2008,ont,dual,gen,share,,boot,502,0,1
CCHS200708_ONT_SHARE_BOOT_HH,cchs-2007d-s-ont-boot.hh,2007,2008,ont,dual,gen,share,,boot.hh,502,0,1
CCHS200708_ONT_SHARE_BOOT_LHIN,cchs-2007d-s-ont-boot.lhin,2007,2008,ont,dual,gen,share,,boot.lhin,502,0,1
CCHS200708_ONT_SHARE_HH,cchs-2007d-s-ont-hh,2007,2008,ont,dual,gen,share,,hh,2,0,1
CCHS200708_ONT_SHARE_LEVEL1,cchs-2007d-s-ont-level1,2007,2008,ont,dual,gen,share,,level1,5,0,1
CCHS200708_ONT_SHARE_LHIN,cchs-2007d-s-ont-lhin,2007,2008,ont,dual,gen,share,,lhin,2,0,1
CCHS2007_ONT_SHARE,cchs-2007s-s-ont,2007,2007,ont,single,gen,share,,,1286,0,1
CCHS2007_ONT_SHARE_BOOT,cchs-2007s-s-ont-boot,2007,2007,ont,single,gen,share,,boot,502,0,1
CCHS2007_ONT_SHARE_BOOT_HH,cchs-2007s-s-ont-boot.hh,2007,2007,ont,single,gen,share,,boot.hh,502,0,1
CCHS2007_ONT_SHARE_BOOT_LHIN,cchs-2007s-s-ont-boot.lhin,2007,2007,ont,single,gen,share,,boot.lhin,502,0,1
CCHS2007_ONT_SHARE_LEVEL1,cchs-2007s-s-ont-level1,2007,2007,ont,single,gen,share,,level1,5,0,1
CCHS2008_INC_IMP,cchs-2008s-inc-can-imp,2008,2008,can,single,gen,income,,imp,9,0,1
CCHS200809_HA_LINK,cchs-2008d-l-can-ha,2008,2009,can,dual,ha,linked,,,5,0,1
CCHS200809_HA,cchs-2008d-m-can-ha,2008,2009,can,dual,ha,master,,,1016,0,1
CCHS200809_HA_BOOT,cchs-2008d-m-can-ha-boot,2008,2009,can,dual,ha,master,,boot,503,0,1
CCHS200809_HA_COG_BOOT,cchs-2008d-m-can-ha-boot.cog,2008,2009,can,dual,ha,master,,boot.cog,503,0,1
CCHS200809_HA_COG,cchs-2008d-m-can-ha-cog,2008,2009,can,dual,ha,master,,cog,1117,0,1
CCHS200809_HA_LEVEL1,cchs-2008d-m-can-ha-level1,2008,2009,can,dual,ha,master,,level1,1019,0,1
CCHS200809_HA_COG_LEVEL1,cchs-2008d-m-can-ha-level1.cog,2008,2009,can,dual,ha,master,,level1.cog,1120,0,1
CCHS2008_ONT_SHARE,cchs-2008s-s-ont,2008,2008,ont,single,gen,share,,,1062,0,1
CCHS2008_ONT_SHARE_BOOT,cchs-2008s-s-ont-boot,2008,2008,ont,single,gen,share,,boot,502,0,1
CCHS2008_ONT_SHARE_BOOT_HH,cchs-2008s-s-ont-boot.hh,2008,2008,ont,single,gen,share,,boot.hh,502,0,1
CCHS2008_ONT_SHARE_BOOT_LHIN,cchs-2008s-s-ont-boot.lhin,2008,2008,ont,single,gen,share,,boot.lhin,502,0,1
CCHS2008_ONT_SHARE_HH,cchs-2008s-s-ont-hh,2008,2008,ont,single,gen,share,,hh,2,0,1
CCHS2008_ONT_SHARE_LEVEL1,cchs-2008s-s-ont-level1,2008,2008,ont,single,gen,share,,level1,5,0,1
CCHS2008_ONT_SHARE_LHIN,cchs-2008s-s-ont-lhin,2008,2008,ont,single,gen,share,,lhin,2,0,1
CCHS200910_INC_IMP,cchs-2009d-inc-can-imp,2009,2010,can,dual,gen,income,,imp,9,0,1
CCHS200910_INC_IMP_LINK,cchs-2009d-inc-can-imp.link,2009,2010,can,dual,gen,income,,imp.link,10,0,1
CCHS2009_INC_IMP,cchs-2009s-inc-can-imp,2009,2009,can,single,gen,income,,imp,9,0,1
CCHS200910_ONT_LINK,cchs-2009d-l-ont,2009,2010,ont,dual,gen,linked,,,1282,0,1
CCHS200910_ONT_LINK_BOOT,cchs-2009d-l-ont-boot,2009,2010,ont,dual,gen,linked,,boot,503,0,1
CCHS200910_ONT_LINK_BOOT_LHIN,cchs-2009d-l-ont-boot.lhin,2009,2010,ont,dual,gen,linked,,boot.lhin,503,0,1
CCHS200910_ONT_LINK_LHIN,cchs-2009d-l-ont-lhin,2009,2010,ont,dual,gen,linked,,lhin,3,0,1
CCHS200910_ONT_LINK_PB,cchs-2009d-l-ont-pb,2009,2010,ont,dual,gen,linked,,pb,1284,0,1
,cchs-2009d-m-can,2009,2010,can,dual,gen,master,,,1254,0,0
,cchs-2009d-p-can,2009,2010,can,dual,gen,pumf,,,1254,1,0
CCHS200910_ONT_SHARE,cchs-2009d-s-ont,2009,2010,ont,dual,gen,share,,,1275,0,1
CCHS200910_ONT_SHARE_BOOT,cchs-2009d-s-ont-boot,2009,2010,ont,dual,gen,share,,boot,502,0,1
CCHS200910_ONT_SHARE_BOOT_HH,cchs-2009d-s-ont-boot.hh,2009,2010,ont,dual,gen,share,,boot.hh,502,0,1
CCHS200910_ONT_SHARE_BOOT_LHIN,cchs-2009d-s-ont-boot.lhin,2009,2010,ont,dual,gen,share,,boot.lhin,502,0,1
CCHS200910_ONT_SHARE_HH,cchs-2009d-s-ont-hh,2009,2010,ont,dual,gen,share,,hh,2,0,1
CCHS200910_ONT_SHARE_LEVEL1,cchs-2009d-s-ont-level1,2009,2010,ont,dual,gen,share,,level1,5,0,1
CCHS200910_ONT_SHARE_LHIN,cchs-2009d-s-ont-lhin,2009,2010,ont,dual,gen,share,,lhin,2,0,1
CCHS2009_ONT_SHARE,cchs-2009s-s-ont,2009,2009,ont,single,gen,share,,,1275,0,1
CCHS2009_ONT_SHARE_BOOT,cchs-2009s-s-ont-boot,2009,2009,ont,single,gen,share,,boot,502,0,1
CCHS2009_ONT_SHARE_BOOT_HH,cchs-2009s-s-ont-boot.hh,2009,2009,ont,single,gen,share,,boot.hh,502,0,1
CCHS2009_ONT_SHARE_BOOT_LHIN,cchs-2009s-s-ont-boot.lhin,2009,2009,ont,single,gen,share,,boot.lhin,502,0,1
CCHS2009_ONT_SHARE_HH,cchs-2009s-s-ont-hh,2009,2009,ont,single,gen,share,,hh,2,0,1
CCHS2009_ONT_SHARE_LEVEL1,cchs-2009s-s-ont-level1,2009,2009,ont,single,gen,share,,level1,5,0,1
CCHS2009_ONT_SHARE_LHIN,cchs-2009s-s-ont-lhin,2009,2009,ont,single,gen,share,,lhin,2,0,1
CCHS2010_INC_IMP,cchs-2010s-inc-can-imp,2010,2010,can,single,gen,income,,imp,9,0,1
