"dataset_id","variable_count","year_label","year_start","year_end","region","dataset_type","cycle_label","is_supplement","supplement_type","is_bootstrap"
"CCHS2009_ONT_SHARE_LEVEL1",5,"2009",2009,2009,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS2009_ONT_SHARE_LHIN",2,"2009",2009,2009,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS2010_INC_IMP",9,"2010",2010,2010,"National","Income","Annual",FALSE,"-",FALSE
"CCHS2010_ONT_SHARE",1384,"2010",2010,2010,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2010_ONT_SHARE_BOOT",502,"2010",2010,2010,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2010_ONT_SHARE_BOOT_HH",502,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2010_ONT_SHARE_BOOT_LHIN",502,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2010_ONT_SHARE_HH",2,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2010_ONT_SHARE_LEVEL1",5,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS2010_ONT_SHARE_LHIN",2,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS201112_CCHS_PUMF",1207,"2011-2012",2011,2012,"National","PUMF","Annual",FALSE,"-",FALSE
"CCHS201112_ONT_LINK",832,"2011-2012",2011,2012,"Ontario","Linked","Annual",FALSE,"-",FALSE
"CCHS201112_ONT_LINK_BOOT",503,"2011-2012",2011,2012,"Ontario","Linked","Annual",FALSE,"-",TRUE
"CCHS201112_ONT_LINK_BOOT_LHIN",503,"2011-2012",2011,2012,"Ontario","Linked","Annual",TRUE,"LHIN geography",TRUE
"CCHS201112_ONT_LINK_LEVEL1",7,"2011-2012",2011,2012,"Ontario","Linked","Annual",TRUE,"Level 1 geography",FALSE
"CCHS201112_ONT_LINK_LHIN",3,"2011-2012",2011,2012,"Ontario","Linked","Annual",TRUE,"LHIN geography",FALSE
"CCHS201112_ONT_SHARE",826,"2011-2012",2011,2012,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS201112_ONT_SHARE_BOOT",502,"2011-2012",2011,2012,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS201112_ONT_SHARE_BOOT_HH",502,"2011-2012",2011,2012,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS201112_ONT_SHARE_BOOT_LHIN",502,"2011-2012",2011,2012,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS201112_ONT_SHARE_HH",2,"2011-2012",2011,2012,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS201112_ONT_SHARE_LEVEL1",5,"2011-2012",2011,2012,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS201112_ONT_SHARE_LHIN",2,"2011-2012",2011,2012,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS2011_ONT_SHARE",885,"2011",2011,2011,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2011_ONT_SHARE_BOOT",502,"2011",2011,2011,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2011_ONT_SHARE_BOOT_HH",502,"2011",2011,2011,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2011_ONT_SHARE_BOOT_LHIN",502,"2011",2011,2011,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2011_ONT_SHARE_HH",2,"2011",2011,2011,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2011_ONT_SHARE_LEVEL1",5,"2011",2011,2011,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS2011_ONT_SHARE_LHIN",2,"2011",2011,2011,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS2012_CCHS_PUMF",1381,"2012",2012,2012,"National","PUMF","Annual",FALSE,"-",FALSE
"CCHS2012_MH",1346,"2012",2012,2012,"National","Mental Health","Annual",FALSE,"-",FALSE
"CCHS2012_MH_BOOT",503,"2012",2012,2012,"National","Mental Health","Annual",FALSE,"-",TRUE
"CCHS2012_MH_ONT_LINK",1347,"2012",2012,2012,"Ontario","Linked","Annual",FALSE,"-",FALSE
"CCHS2012_MH_ONT_LINK_BOOT",503,"2012",2012,2012,"Ontario","Linked","Annual",FALSE,"-",TRUE
"CCHS2012_ONT_SHARE",893,"2012",2012,2012,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2012_ONT_SHARE_BOOT",502,"2012",2012,2012,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2012_ONT_SHARE_BOOT_HH",502,"2012",2012,2012,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2012_ONT_SHARE_BOOT_LHIN",502,"2012",2012,2012,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2012_ONT_SHARE_HH",2,"2012",2012,2012,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2012_ONT_SHARE_LHIN",2,"2012",2012,2012,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS201314_CCHS_PUMF",1003,"2013-2014",2013,2014,"National","PUMF","Annual",FALSE,"-",FALSE
"CCHS201314_ONT_LINK",859,"2013-2014",2013,2014,"Ontario","Linked","Annual",FALSE,"-",FALSE
"CCHS201314_ONT_LINK_BOOT",504,"2013-2014",2013,2014,"Ontario","Linked","Annual",FALSE,"-",TRUE
"CCHS201314_ONT_LINK_BOOT_LHIN",504,"2013-2014",2013,2014,"Ontario","Linked","Annual",TRUE,"LHIN geography",TRUE
"CCHS201314_ONT_LINK_LHIN",4,"2013-2014",2013,2014,"Ontario","Linked","Annual",TRUE,"LHIN geography",FALSE
"CCHS201314_ONT_SHARE",852,"2013-2014",2013,2014,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS201314_ONT_SHARE_BOOT",502,"2013-2014",2013,2014,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS201314_ONT_SHARE_BOOT_HH",502,"2013-2014",2013,2014,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS201314_ONT_SHARE_BOOT_LHIN",502,"2013-2014",2013,2014,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS201314_ONT_SHARE_HH",2,"2013-2014",2013,2014,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS201314_ONT_SHARE_LEVEL1",5,"2013-2014",2013,2014,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS201314_ONT_SHARE_LHIN",2,"2013-2014",2013,2014,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS2013_ONT_SHARE",854,"2013",2013,2013,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2013_ONT_SHARE_BOOT",502,"2013",2013,2013,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2013_ONT_SHARE_BOOT_HH",502,"2013",2013,2013,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2013_ONT_SHARE_BOOT_LHIN",502,"2013",2013,2013,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2013_ONT_SHARE_HH",2,"2013",2013,2013,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2013_ONT_SHARE_LHIN",2,"2013",2013,2013,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS2013_ONT_SHARE_PSTLCODE",2,"2013",2013,2013,"Ontario","Share","Annual",TRUE,"Postal code",FALSE
"CCHS2014_CCHS_PUMF",1129,"2014",2014,2014,"National","PUMF","Annual",FALSE,"-",FALSE
"CCHS2014_ONT_SHARE",908,"2014",2014,2014,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2014_ONT_SHARE_BOOT",502,"2014",2014,2014,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2014_ONT_SHARE_BOOT_HH",502,"2014",2014,2014,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2014_ONT_SHARE_BOOT_LHIN",502,"2014",2014,2014,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2014_ONT_SHARE_HH",2,"2014",2014,2014,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2014_ONT_SHARE_LEVEL1",5,"2014",2014,2014,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS2014_ONT_SHARE_LHIN",2,"2014",2014,2014,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS201516_LINKED_IKN",3,"2015-2016",2015,2016,"National","Linked","Annual",TRUE,"IKN linkage",FALSE
"CCHS201516_ONT_SHARE",806,"2015-2016",2015,2016,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS201516_ONT_SHARE_BOOT",1002,"2015-2016",2015,2016,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS201516_ONT_SHARE_BOOT_HH",1002,"2015-2016",2015,2016,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS201516_ONT_SHARE_HH",2,"2015-2016",2015,2016,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2015_ONT_SHARE",940,"2015",2015,2015,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2015_ONT_SHARE_BOOT",1002,"2015",2015,2015,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2015_ONT_SHARE_BOOT_HH",1002,"2015",2015,2015,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2015_ONT_SHARE_HH",2,"2015",2015,2015,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2015_RFH_CAN_PC",2,"2015",2015,2015,"Canada","Other","Annual",TRUE,"Rapid Response",FALSE
"CCHS2015_RFH_CAN_SHARE",563,"2015",2015,2015,"Canada","Share","Annual",TRUE,"Rapid Response",FALSE
"CCHS2015_RFH_CAN_SHARE_BOOT",1002,"2015",2015,2015,"Canada","Share","Annual",TRUE,"Rapid Response",TRUE
"CCHS2015_RFH_CAN_SHARE_LEVEL1",4,"2015",2015,2015,"Canada","Share","Annual",TRUE,"Level 1 geography; Rapid Response",FALSE
"CCHS2015_RFH_ONT_SHARE",562,"2015",2015,2015,"Ontario","Share","Annual",TRUE,"Rapid Response",FALSE
"CCHS2015_RFH_ONT_SHARE_BOOT",1002,"2015",2015,2015,"Ontario","Share","Annual",TRUE,"Rapid Response",TRUE
"CCHS2015_RFH_ONT_SHARE_LEVEL1",4,"2015",2015,2015,"Ontario","Share","Annual",TRUE,"Level 1 geography; Rapid Response",FALSE
"CCHS2016_ONT_SHARE",839,"2016",2016,2016,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2016_ONT_SHARE_BOOT",1002,"2016",2016,2016,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2016_ONT_SHARE_BOOT_HH",1002,"2016",2016,2016,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2016_ONT_SHARE_HH",2,"2016",2016,2016,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS201718_LINKED_IKN",3,"2017-2018",2017,2018,"National","Linked","Annual",TRUE,"IKN linkage",FALSE
"CCHS201718_ONT_SHARE",783,"2017-2018",2017,2018,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS201718_ONT_SHARE_BOOT",1002,"2017-2018",2017,2018,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS201718_ONT_SHARE_BOOT_HH",1002,"2017-2018",2017,2018,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS201718_ONT_SHARE_HH",2,"2017-2018",2017,2018,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2017_ONT_SHARE",810,"2017",2017,2017,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2017_ONT_SHARE_BOOT",1002,"2017",2017,2017,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2017_ONT_SHARE_BOOT_HH",1002,"2017",2017,2017,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2017_ONT_SHARE_HH",2,"2017",2017,2017,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2018_ONT_SHARE",922,"2018",2018,2018,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2018_ONT_SHARE_BOOT",1002,"2018",2018,2018,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2018_ONT_SHARE_BOOT_HH",1002,"2018",2018,2018,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2018_ONT_SHARE_HH",2,"2018",2018,2018,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS201920_INC_ON",28,"2019-2020",2019,2020,"National","Income","Annual",FALSE,"-",FALSE
"CCHS201920_ONT_SHARE",704,"2019-2020",2019,2020,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS201920_ONT_SHARE_BOOT",1002,"2019-2020",2019,2020,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS201920_ONT_SHARE_BOOT_HH",1002,"2019-2020",2019,2020,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS201920_ONT_SHARE_HH",2,"2019-2020",2019,2020,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2019_INC_ON",28,"2019",2019,2019,"National","Income","Annual",FALSE,"-",FALSE
"CCHS2019_ONT_SHARE",1237,"2019",2019,2019,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2019_ONT_SHARE_BOOT",1002,"2019",2019,2019,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2019_ONT_SHARE_BOOT_HH",1002,"2019",2019,2019,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2019_ONT_SHARE_HH",2,"2019",2019,2019,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2020_INC_ON",28,"2020",2020,2020,"National","Income","Annual",FALSE,"-",FALSE
"CCHS2020_ONT_SHARE",894,"2020",2020,2020,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2020_ONT_SHARE_BOOT",1002,"2020",2020,2020,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2020_ONT_SHARE_BOOT_HH",1002,"2020",2020,2020,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2020_ONT_SHARE_HH",2,"2020",2020,2020,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2021_ONT_SHARE",689,"2021",2021,2021,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2021_ONT_SHARE_BOOT",1003,"2021",2021,2021,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2021_ONT_SHARE_BOOT_HH",1002,"2021",2021,2021,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2021_ONT_SHARE_HH",2,"2021",2021,2021,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
