"uid","original_filename","canonical_filename","category","secondary_categories","content_tags","year","temporal_type","chms_cycle","chms_component","doc_type","language","file_extension","version","sequence","file_size","status"
"chms-c1-hcl-dd-e-pdf-01","HCLSup_rounded_C1.pdf","chms-c1-hcl-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle1","hcl","","e","","",0,3702992,"extracted"
"chms-c1-ams-dd-e-pdf-01","AM_rounded_C1.pdf","chms-c1-ams-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle1","ams","","e","","",0,3702992,"extracted"
"chms-c1-fast-dd-e-pdf-01","Fasted_rounded_C1.pdf","chms-c1-fast-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle1","fast","","e","","",0,3702992,"extracted"
"chms-c1-med-dd-e-pdf-01","Medication_rounded_C1.pdf","chms-c1-med-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle1","med","","e","","",0,3702992,"extracted"
"chms-c1-gen-ug-e-pdf-01","CHMS_User_Guide_Cycle1_E.pdf","chms-c1-gen-ug-e-pdf-01.pdf","user-guide","","","","","cycle1","gen","","e","","",0,3702992,"extracted"
"chms-c1-clc-qu-e-pdf-01","clinic_cycle1_E.pdf","chms-c1-clc-qu-e-pdf-01.pdf","questionnaire","","","","","cycle1","clc","","e","","",0,3702992,"extracted"
"chms-c1-hhd-qu-e-pdf-01","hhld_cycle1_E.pdf","chms-c1-hhd-qu-e-pdf-01.pdf","questionnaire","","","","","cycle1","hhd","","e","","",0,3702992,"extracted"
"chms-c2-gen-ug-e-pdf-01","CHMS_User_Guide_Cycle2_E.pdf","chms-c2-gen-ug-e-pdf-01.pdf","user-guide","","","","","cycle2","gen","","e","","",0,1645531,"extracted"
"chms-c2-clc-qu-e-pdf-01","clinic_cycle2_E.pdf","chms-c2-clc-qu-e-pdf-01.pdf","questionnaire","","","","","cycle2","clc","","e","","",0,1645531,"extracted"
"chms-c2-hhd-qu-e-pdf-01","hhld_cycle2_E.pdf","chms-c2-hhd-qu-e-pdf-01.pdf","questionnaire","","","","","cycle2","hhd","","e","","",0,1645531,"extracted"
"chms-c2-ams-dd-e-pdf-01","AM_rounded_C2.pdf","chms-c2-ams-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle2","ams","","e","","",0,1645531,"extracted"
"chms-c2-fast-dd-e-pdf-01","Fasted_rounded_C2.pdf","chms-c2-fast-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle2","fast","","e","","",0,1645531,"extracted"
"chms-c2-hcl-dd-e-pdf-01","HCL2_rounded_C2.pdf","chms-c2-hcl-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle2","hcl","","e","","",0,1645531,"extracted"
"chms-c2-med-dd-e-pdf-01","Medication_rounded_C2.pdf","chms-c2-med-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle2","med","","e","","",0,1645531,"extracted"
"chms-c3-ams-dd-e-pdf-01","rounded_dd_ams_freq_c3_e.pdf","chms-c3-ams-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle3","ams","","e","","",0,279221,"extracted"
"chms-c3-clc-dd-e-pdf-01","rounded_dd_clc_freq_c3_e.pdf","chms-c3-clc-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle3","clc","","e","","",0,279221,"extracted"
"chms-c3-fast-dd-e-pdf-01","rounded_dd_fast_freq_c3_e.pdf","chms-c3-fast-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle3","fast","","e","","",0,279221,"extracted"
"chms-c3-hhd-dd-e-pdf-01","rounded_dd_hhd_freq_c3_e.pdf","chms-c3-hhd-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle3","hhd","","e","","",0,279221,"extracted"
"chms-c3-nel-dd-e-pdf-01","rounded_dd_nel_freq_c3_e.pdf","chms-c3-nel-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle3","nel","","e","","",0,279221,"extracted"
"chms-c3-gen-ug-e-pdf-01","CHMS_User_Guide_Cycle3_E.pdf","chms-c3-gen-ug-e-pdf-01.pdf","user-guide","","","","","cycle3","gen","","e","","",0,279221,"extracted"
"chms-c3-clc-qu-e-pdf-01","quest_clc_c3_e.pdf","chms-c3-clc-qu-e-pdf-01.pdf","questionnaire","","","","","cycle3","clc","","e","","",0,279221,"extracted"
"chms-c3-hhd-qu-e-pdf-01","quest_hhd_c3_e.pdf","chms-c3-hhd-qu-e-pdf-01.pdf","questionnaire","","","","","cycle3","hhd","","e","","",0,279221,"extracted"
"chms-c3-med-dd-e-pdf-01","releasable_unrounded_dd_med_freq_c3_e.pdf","chms-c3-med-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle3","med","","e","","",0,279221,"extracted"
"chms-c4-gen-ug-e-pdf-01","CHMS_User_Guide_Cycle4_E.pdf","chms-c4-gen-ug-e-pdf-01.pdf","user-guide","","","","","cycle4","gen","","e","","",0,2885391,"extracted"
"chms-c4-clc-qu-e-pdf-01","quest_clc_c4_e.pdf","chms-c4-clc-qu-e-pdf-01.pdf","questionnaire","","","","","cycle4","clc","","e","","",0,2885391,"extracted"
"chms-c4-hhd-qu-e-pdf-01","quest_hhd_c4_e.pdf","chms-c4-hhd-qu-e-pdf-01.pdf","questionnaire","","","","","cycle4","hhd","","e","","",0,2885391,"extracted"
"chms-c4-ams-dd-e-pdf-01","rounded_dd_ams_freq_c4_e.pdf","chms-c4-ams-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle4","ams","","e","","",0,2885391,"extracted"
"chms-c4-clc-dd-e-pdf-01","rounded_dd_clc_freq_c4_e.pdf","chms-c4-clc-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle4","clc","","e","","",0,2885391,"extracted"
"chms-c4-fast-dd-e-pdf-01","rounded_dd_fast_freq_c4_e.pdf","chms-c4-fast-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle4","fast","","e","","",0,2885391,"extracted"
"chms-c4-hhd-dd-e-pdf-01","rounded_dd_hhd_freq_c4_e.pdf","chms-c4-hhd-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle4","hhd","","e","","",0,2885391,"extracted"
"chms-c4-nel-dd-e-pdf-01","rounded_dd_nel_freq_c4_e.pdf","chms-c4-nel-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle4","nel","","e","","",0,2885391,"extracted"
"chms-c4-med-dd-e-pdf-01","releasable_unrounded_dd_med_freq_c4_e.pdf","chms-c4-med-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle4","med","","e","","",0,2885391,"extracted"
"chms-c5-ams-dd-e-pdf-01","rounded_dd_am_subsample_freq_c5_E.pdf","chms-c5-ams-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle5","ams","","e","","",0,1331703,"extracted"
"chms-c5-clc-dd-e-pdf-01","rounded_dd_clc_freq_c5_E.pdf","chms-c5-clc-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle5","clc","","e","","",0,1331703,"extracted"
"chms-c5-fast-dd-e-pdf-01","rounded_dd_fast_freq_c5_E.pdf","chms-c5-fast-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle5","fast","","e","","",0,1331703,"extracted"
"chms-c5-hhd-dd-e-pdf-01","rounded_dd_hhd_freq_c5_E.pdf","chms-c5-hhd-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle5","hhd","","e","","",0,1331703,"extracted"
"chms-c5-inc-dd-e-pdf-01","rounded_dd_inc_linked_freq_c5_e.pdf","chms-c5-inc-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle5","inc","","e","","",0,1331703,"extracted"
"chms-c5-nel-dd-e-pdf-01","rounded_dd_nel_freq_c5_E.pdf","chms-c5-nel-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle5","nel","","e","","",0,1331703,"extracted"
"chms-c5-med-dd-e-pdf-01","dd_med_freq_c5_E.pdf","chms-c5-med-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle5","med","","e","","",0,1331703,"extracted"
"chms-c5-gen-ug-e-pdf-01","ug_c5_e_december_2021.pdf","chms-c5-gen-ug-e-pdf-01.pdf","user-guide","","","","","cycle5","gen","","e","","",0,1331703,"extracted"
"chms-c5-clc-qu-e-pdf-01","quest_clc_c5_e.pdf","chms-c5-clc-qu-e-pdf-01.pdf","questionnaire","","","","","cycle5","clc","","e","","",0,1331703,"extracted"
"chms-c5-hhd-qu-e-pdf-01","quest_hhd_c5_e.pdf","chms-c5-hhd-qu-e-pdf-01.pdf","questionnaire","","","","","cycle5","hhd","","e","","",0,1331703,"extracted"
"chms-c6-gen-ug-e-pdf-01","ug_c6_e_december_2021.pdf","chms-c6-gen-ug-e-pdf-01.pdf","user-guide","","","","","cycle6","gen","","e","","",0,2804075,"extracted"
"chms-c6-hhd-qu-e-pdf-01","quest_hhd_c6_e.pdf","chms-c6-hhd-qu-e-pdf-01.pdf","questionnaire","","","","","cycle6","hhd","","e","","",0,2804075,"extracted"
"chms-c6-ams-dd-e-pdf-01","rounded_dd_ams_freq_c6_E.pdf","chms-c6-ams-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle6","ams","","e","","",0,2804075,"extracted"
"chms-c6-clc-qu-e-pdf-01","quest_clc_c6_e.pdf","chms-c6-clc-qu-e-pdf-01.pdf","questionnaire","","","","","cycle6","clc","","e","","",0,2804075,"extracted"
"chms-c6-clc-dd-e-pdf-01","rounded_dd_clc_freq_c6_E.pdf","chms-c6-clc-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle6","clc","","e","","",0,2804075,"extracted"
"chms-c6-nel-dd-e-pdf-01","rounded_dd_nel_freq_c6_E.pdf","chms-c6-nel-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle6","nel","","e","","",0,2804075,"extracted"
"chms-c6-hhd-dd-e-pdf-01","rounded_dd_hhd_freq_c6_E.pdf","chms-c6-hhd-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle6","hhd","","e","","",0,2804075,"extracted"
"chms-c6-fast-dd-e-pdf-01","rounded_dd_fast_freq_c6_E.pdf","chms-c6-fast-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle6","fast","","e","","",0,2804075,"extracted"
"chms-c6-med-dd-e-pdf-01","dd_med_freq_c6_E.pdf","chms-c6-med-dd-e-pdf-01.pdf","data-dictionary","","","","","cycle6","med","","e","","",0,2804075,"extracted"
"chms-c6-clc-dv-e-pdf-01","dv_dhh_clc_c6_e.pdf","chms-c6-clc-dv-e-pdf-01.pdf","derived-variables","","","","","cycle6","clc","","e","","",0,2804075,"extracted"
